Date,Open,High,Low,Close,Adj Close,Volume
2017-03-31,84.160004,85.279999,84.080002,85.120003,85.120003,2428825
2017-04-03,84.959999,85.040001,84.160004,84.400002,84.400002,2099513
2017-04-04,85.040001,85.919998,84.720001,85.680000,85.680000,3048200
2017-04-05,86.720001,87.120003,85.199997,85.440002,85.440002,3623500
2017-04-06,86.559998,87.040001,86.400002,86.879997,86.879997,2740113
2017-04-07,87.120003,87.760002,86.959999,87.680000,87.680000,2401600
2017-04-10,88.559998,89.120003,88.320000,89.120003,89.120003,2770813
2017-04-11,89.040001,89.680000,88.480003,89.360001,89.360001,3068638
2017-04-12,89.919998,90.080002,88.639999,88.879997,88.879997,3221625
2017-04-13,89.440002,89.599998,88.800003,89.040001,89.040001,2171225
2017-04-17,89.040001,89.199997,88.320000,88.480003,88.480003,1856675
2017-04-18,88.000000,88.800003,87.519997,88.320000,88.320000,1812950
2017-04-19,88.239998,88.400002,84.160004,84.959999,84.959999,6307875
2017-04-20,84.639999,85.440002,84.160004,84.320000,84.320000,3669788
2017-04-21,84.400002,84.400002,82.000000,82.559998,82.559998,4833100
2017-04-24,82.320000,82.480003,81.680000,82.000000,82.000000,3479663
2017-04-25,82.000000,83.040001,81.440002,82.879997,82.879997,2961788
2017-04-26,81.919998,83.680000,81.760002,82.080002,82.080002,3350838
2017-04-27,81.040001,82.080002,80.320000,81.919998,81.919998,4250500
2017-04-28,82.320000,82.639999,81.360001,81.919998,81.919998,1991575
2017-05-01,81.519997,81.680000,80.959999,81.199997,81.199997,2014538
2017-05-02,81.360001,81.360001,78.879997,79.360001,79.360001,5518288
2017-05-03,79.680000,80.080002,78.879997,79.440002,79.440002,4567550
2017-05-04,78.000000,78.080002,75.440002,75.680000,75.680000,8780438
2017-05-05,75.760002,77.760002,75.760002,77.279999,77.279999,4447763
2017-05-08,77.199997,78.000000,76.239998,77.360001,77.360001,3817188
2017-05-09,77.120003,77.360001,75.839996,76.559998,76.559998,2553775
2017-05-10,77.599998,79.599998,77.440002,78.879997,78.879997,4174700
2017-05-11,79.919998,80.320000,79.199997,79.519997,79.519997,2421525
2017-05-12,79.760002,79.839996,78.800003,79.599998,79.599998,2429450
2017-05-15,82.160004,82.239998,81.040001,81.360001,81.360001,4589063
2017-05-16,81.760002,82.080002,80.720001,80.879997,80.879997,2103113
2017-05-17,81.519997,82.320000,80.800003,81.519997,81.519997,3381713
2017-05-18,81.040001,82.480003,80.720001,82.080002,82.080002,2661463
2017-05-19,83.199997,83.919998,83.040001,83.839996,83.839996,3096025
2017-05-22,84.400002,84.800003,84.000000,84.320000,84.320000,3061763
2017-05-23,84.639999,85.199997,84.320000,85.120003,85.120003,3281375
2017-05-24,84.959999,85.599998,84.320000,84.800003,84.800003,4027150
2017-05-25,84.000000,84.639999,80.080002,80.320000,80.320000,10476625
2017-05-26,81.120003,82.400002,80.720001,82.239998,82.239998,3928063
2017-05-30,81.360001,82.400002,81.040001,81.919998,81.919998,1993850
2017-05-31,79.919998,80.400002,78.879997,79.680000,79.680000,4164263
2017-06-01,80.080002,81.279999,79.279999,79.279999,79.279999,3772663
2017-06-02,78.639999,79.440002,77.839996,78.879997,78.879997,3842900
2017-06-05,77.760002,78.559998,77.440002,78.400002,78.400002,3517088
2017-06-06,77.919998,79.919998,77.839996,79.760002,79.760002,3296013
2017-06-07,78.720001,79.040001,75.519997,75.680000,75.680000,7337350
2017-06-08,75.199997,76.239998,74.959999,75.440002,75.440002,5105413
2017-06-09,75.519997,76.400002,75.279999,75.919998,75.919998,3203088
2017-06-12,76.879997,77.199997,76.080002,76.160004,76.160004,3184850
2017-06-13,76.080002,76.959999,75.279999,76.800003,76.800003,3249588
2017-06-14,76.320000,76.720001,73.599998,73.839996,73.839996,7585975
2017-06-15,73.760002,73.919998,73.279999,73.440002,73.440002,3950813
2017-06-16,74.080002,74.160004,73.599998,73.919998,73.919998,2675475
2017-06-19,74.160004,74.400002,72.879997,72.959999,72.959999,3225288
2017-06-20,71.440002,71.760002,70.639999,71.599998,71.599998,6079375
2017-06-21,71.760002,72.639999,69.199997,69.680000,69.680000,7649775
2017-06-22,70.400002,71.279999,70.160004,70.239998,70.239998,3949263
2017-06-23,70.400002,71.120003,70.000000,70.879997,70.879997,3878550
2017-06-26,71.040001,71.680000,70.160004,71.440002,71.440002,4657875
2017-06-27,71.919998,73.120003,71.839996,72.800003,72.800003,3642500
2017-06-28,72.800003,73.760002,72.239998,73.599998,73.599998,3671000
2017-06-29,74.160004,74.720001,73.440002,73.680000,73.680000,3907375
2017-06-30,74.559998,76.000000,74.320000,76.000000,76.000000,4084850
2017-07-03,76.400002,77.040001,76.320000,76.959999,76.959999,2525100
2017-07-05,76.480003,76.639999,73.839996,74.000000,74.000000,8522750
2017-07-06,75.519997,76.480003,74.320000,74.480003,74.480003,5235238
2017-07-07,73.519997,73.599998,72.000000,72.800003,72.800003,5411413
2017-07-10,72.320000,73.760002,72.160004,73.040001,73.040001,3458050
2017-07-11,72.879997,74.480003,72.639999,74.160004,74.160004,3079813
